id,uuid,tagId,allNamesByLocale,parentTagIds,createdAt,deletedAt,updatedAt,tagName
253,192c0249-33b6-4c22-86b0-7d994c907985,19043,"{""da"": ""Lille pool med koldt vand"", ""de"": ""Tauchbecken"", ""en"": ""Plunge Pool"", ""es"": ""Piscina profunda"", ""fr"": ""Bassin"", ""it"": ""Piscina profonda"", ""ja"": ""プランジプール"", ""ko"": ""냉탕"", ""nl"": ""Dompelbad"", ""no"": ""Kulp"", ""pt"": ""Piscina de imersão"", ""sv"": ""Djup pool"", ""zh"": ""跳水池"", ""en_AU"": ""Plunge Pool"", ""en_UK"": ""Plunge Pool"", ""zh_CN"": ""跳水池"", ""zh_HK"": ""瀑布池"", ""zh_TW"": ""小泳池""}",,2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Plunge Pool
174,973ffa6b-c296-44d4-8c3b-a23b37acf6f6,11950,"{""da"": ""Vintersportsbilletter og -kort"", ""de"": ""Wintersporttickets und -pässe"", ""en"": ""Winter Sports Tickets & Passes"", ""es"": ""Entradas y pases para deportes de invierno"", ""fr"": ""Billets et forfaits de sports d'hiver"", ""it"": ""Biglietti e pass per sport invernali"", ""ja"": ""ウィンタースポーツのチケット・パス"", ""ko"": ""겨울 스포츠 티켓 & 패스"", ""nl"": ""Tickets en passen voor wintersport"", ""no"": ""Billetter og adgangskort til vintersport"", ""pt"": ""Bilhetes e ingressos para esportes de inverno"", ""sv"": ""Biljetter och inträden till vintersport"", ""zh"": ""冬季运动门票和通行证"", ""en_AU"": ""Winter Sports Tickets & Passes"", ""en_UK"": ""Winter Sports Tickets & Passes"", ""zh_CN"": ""冬季运动门票和通行证"", ""zh_HK"": ""冬季運動門票和通行證"", ""zh_TW"": ""冬季運動票券和入場券""}","{11904,21909}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Winter Sports Tickets & Passes
175,c62fa3b7-0d68-4c00-9109-e5c52d4b7010,11953,"{""da"": ""Øl- og bryggeriture"", ""de"": ""Bier- und Brauereitouren"", ""en"": ""Beer & Brewery Tours"", ""es"": ""Visitas guiadas sobre cerveza y cervecerías"", ""fr"": ""Visites de brasseries"", ""it"": ""Tour di birrifici e degustazione di birra"", ""ja"": ""ビール・醸造所ツアー"", ""ko"": ""맥주 & 양조장 투어"", ""nl"": ""Bier- en bierbrouwerijtours"", ""no"": ""Øl- og bryggeriturer"", ""pt"": ""Excursões de cerveja e cervejarias"", ""sv"": ""Öl- och bryggerirundturer"", ""zh"": ""啤酒厂游览"", ""en_AU"": ""Beer & Brewery Tours"", ""en_UK"": ""Beer & Brewery Tours"", ""zh_CN"": ""啤酒与啤酒厂游览"", ""zh_HK"": ""啤酒和釀酒廠遊覽"", ""zh_TW"": ""啤酒和酒莊遊覽""}","{21575,21911}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Beer & Brewery Tours
176,db4bca34-a4ab-42c8-91ec-9779f1857c0a,11952,"{""da"": ""Svævebaneture"", ""de"": ""Ziplining"", ""en"": ""Ziplining"", ""es"": ""Tirolina"", ""fr"": ""Tyroliennes"", ""it"": ""Zip line"", ""ja"": ""ジップライン"", ""ko"": ""집라인"", ""nl"": ""Tokkelbanen"", ""no"": ""Ziplining"", ""pt"": ""Tirolesa"", ""sv"": ""Ziplining"", ""zh"": ""高空滑索"", ""en_AU"": ""Ziplining"", ""en_UK"": ""Ziplining"", ""zh_CN"": ""高空滑索"", ""zh_HK"": ""高空滑索"", ""zh_TW"": ""滑索""}","{21440,21909,11923}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Ziplining
177,1e48c0f5-94e6-47db-aff9-f392af24f10b,21721,"{""da"": ""Ture med offentlig transport"", ""de"": ""Touren mit öffentlichen Verkehrsmitteln"", ""en"": ""Public Transportation Tours"", ""es"": ""Visitas guiadas en transporte público"", ""fr"": ""Circuits sur les transports en commun"", ""it"": ""Tour con trasporti pubblici"", ""ja"": ""公共交通機関ツアー"", ""ko"": ""대중교통 투어"", ""nl"": ""Openbaar vervoertours"", ""no"": ""Turer med offentlig transport"", ""pt"": ""Passeios em transporte público"", ""sv"": ""Rundturer med kollektivtrafik"", ""zh"": ""公共交通游览"", ""en_AU"": ""Public Transportation Tours"", ""en_UK"": ""Public Transportation Tours"", ""zh_CN"": ""公共交通游览"", ""zh_HK"": ""公共交通遊覽團"", ""zh_TW"": ""大眾交通遊覽""}","{21715,21913}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Public Transportation Tours
178,f97ad502-40ca-4979-9d7c-e73282106453,21720,"{""da"": ""Udlejning"", ""de"": ""Verleihe"", ""en"": ""Rentals"", ""es"": ""Alquiler"", ""fr"": ""Locations"", ""it"": ""Noleggi"", ""ja"": ""レンタル"", ""ko"": ""대여"", ""nl"": ""Verhuur"", ""no"": ""Utleie"", ""pt"": ""Locações"", ""sv"": ""Semesterbostäder"", ""zh"": ""租赁"", ""en_AU"": ""Rentals"", ""en_UK"": ""Rentals"", ""zh_CN"": ""租赁"", ""zh_HK"": ""租賃"", ""zh_TW"": ""租借""}","{21715,21913}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Rentals
179,9c08e290-a391-4a81-aefb-c722d1fea80b,21961,"{""da"": ""Hygiejneforanstaltninger anvendt"", ""de"": ""Berücksichtigung der Sicherheitsmaßnahmen"", ""en"": ""Sanitation measures applied"", ""es"": ""Medidas de higiene aplicadas"", ""fr"": ""Mesures d'hygiène appliquées"", ""it"": ""Misure di sanificazione adottate"", ""ja"": ""衛生対策を実施中"", ""ko"": ""위생 조치 적용"", ""nl"": ""Hygiënemaatregelen van toepassing"", ""no"": ""Sanitære tiltak er brukt"", ""pt"": ""Medidas de higiene em vigor"", ""sv"": ""Hygienåtgärder har tillämpats"", ""zh"": ""已实施卫生措施"", ""en_AU"": ""Sanitation measures applied"", ""en_UK"": ""Sanitation measures applied"", ""zh_CN"": ""已实施卫生措施"", ""zh_HK"": ""已採用衛生措施"", ""zh_TW"": ""採取清潔消毒措施""}",,2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Sanitation measures applied
180,4081367b-70f0-432e-8323-08b299851c28,21960,"{""da"": ""Kontaktløs betaling af drikkepenge og ekstra produkter"", ""de"": ""Kontaktlose Bezahlung von Trinkgeldern und Zusatzleistungen"", ""en"": ""Contactless payment for gratuities and add-ons"", ""es"": ""Pago sin contacto de propinas y complementos"", ""fr"": ""Paiement sans contact pour les pourboires et suppléments"", ""it"": ""Pagamento contactless per mance e spese extra"", ""ja"": ""チップや追加サービスには電子マネー決済が利用可能"", ""ko"": ""팁 및 추가 지출금 비대면 지불"", ""nl"": ""Fooien en giften contactloos betalen"", ""no"": ""Kontaktløs betaling for tips og annet ekstra"", ""pt"": ""Pagamento de gorjetas e complementos por aproximação"", ""sv"": ""Kontaktfri betalning för dricks och tillägg"", ""zh"": ""针对小费和附加费用的无接触付款服务"", ""en_AU"": ""Contactless payment for gratuities and add-ons"", ""en_UK"": ""Contactless payment for gratuities and add-ons"", ""zh_CN"": ""针对小费和附加费用的无接触付款服务"", ""zh_HK"": ""小費和附加項目設有無接觸付款服務"", ""zh_TW"": ""小費及附加項目可使用無接觸付款方式""}",{21961},2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Contactless payment for gratuities and add-ons
181,9a1ece6b-eb57-4433-a4af-3f4481fda370,21729,"{""da"": ""Sejlture med sightseeing"", ""de"": ""Sightseeing-Schifffahrten"", ""en"": ""Sightseeing Cruises"", ""es"": ""Cruceros turísticos"", ""fr"": ""Croisières guidées"", ""it"": ""Crociere turistiche"", ""ja"": ""観光クルーズ"", ""ko"": ""관광 크루즈"", ""nl"": ""Sightseeingcruises"", ""no"": ""Sightseeingcruise"", ""pt"": ""Cruzeiros turísticos"", ""sv"": ""Sightseeingkryssningar"", ""zh"": ""观光邮轮"", ""en_AU"": ""Sightseeing Cruises"", ""en_UK"": ""Sightseeing Cruises"", ""zh_CN"": ""观光邮轮"", ""zh_HK"": ""觀光巡航"", ""zh_TW"": ""觀光郵輪""}","{21442,21909,21701,21913,21725}",2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Sightseeing Cruises
182,bbc51e4d-b406-4145-b1de-89c8a520492f,11919,"{""da"": ""Børnevenligt"", ""de"": ""Kinderfreundliche Touren/Aktivitäten"", ""en"": ""Kid-Friendly"", ""es"": ""Adecuado para niños"", ""fr"": ""Pour enfants"", ""it"": ""Per famiglie"", ""ja"": ""お子様に優しい"", ""ko"": ""아동 친화적"", ""nl"": ""Kindvriendelijk"", ""no"": ""Barnevennlig"", ""pt"": ""Para crianças"", ""sv"": ""Barnvänliga"", ""zh"": ""适合儿童"", ""en_AU"": ""Kid-Friendly"", ""en_UK"": ""Kid-Friendly"", ""zh_CN"": ""适合儿童"", ""zh_HK"": ""適合兒童"", ""zh_TW"": ""適合兒童""}",,2024-04-10 00:50:21.723000 +00:00,,2024-04-10 00:50:21.723000 +00:00,Kid-Friendly
